Province,Province_Full,City,Name,Type,Distance (km),Contact
ON,ONTARIO,MILTON,MILTON RELIEF HUB,SUPPLIES,4.5,(905)-555-5015
ON,ONTARIO,CAMBRIDGE,CAMBRIDGE HEALTH CENTRE,MEDICAL,3.9,(519)-555-5016
ON,ONTARIO,OSHAWA,OSHAWA CIVIC RELIEF CENTRE,SHELTER,3.8,(905)-555-5017
ON,ONTARIO,BURLINGTON,BURLINGTON RELIEF STATION,SUPPLIES,4.0,(905)-555-5018
ON,ONTARIO,SUDURY,SUDURY EMERGENCY SHELTER,SHELTER,6.2,(705)-555-5019
ON,ONTARIO,NORTH BAY,NORTH BAY HEALTH CENTRE,MEDICAL,5.8,(705)-555-5020
QC,QUEBEC,MONTREAL,MONTREAL RELIEF HUB,SUPPLIES,2.4,(514)-555-6001
QC,QUEBEC,QUEBEC CITY,QUEBEC CITY GENERAL HOSPITAL,MEDICAL,3.2,(418)-555-6002
QC,QUEBEC,LAVAL,LAVAL COMMUNITY SHELTER,SHELTER,4.1,(450)-555-6003
QC,QUEBEC,SHERBROOKE,SHERBROOKE RELIEF DEPOT,SUPPLIES,5.3,(819)-555-6004
QC,QUEBEC,GATINEAU,GATINEAU MEDICAL CENTRE,MEDICAL,4.7,(819)-555-6005
QC,QUEBEC,TROIS-RIVIÈRES,TROIS-RIVIÈRES RELIEF HUB,SUPPLIES,3.6,(819)-555-6006
QC,QUEBEC,DRUMMONDVILLE,DRUMMONDVILLE CIVIC SHELTER,SHELTER,5.2,(819)-555-6007
QC,QUEBEC,SAGUENAY,SAGUENAY HEALTH CENTRE,MEDICAL,6.0,(418)-555-6008
QC,QUEBEC,LONGUEUIL,LONGUEUIL RELIEF WAREHOUSE,SUPPLIES,3.4,(450)-555-6009
QC,QUEBEC,TERREBONNE,TERREBONNE EMERGENCY SHELTER,SHELTER,5.6,(450)-555-6010
NB,NEW BRUNSWICK,MONCTON,MONCTON MEDICAL CENTRE,MEDICAL,3.0,(506)-555-7001
NB,NEW BRUNSWICK,FREDERICTON,FREDERICTON RELIEF HUB,SUPPLIES,3.8,(506)-555-7002
NB,NEW BRUNSWICK,SAINT JOHN,SAINT JOHN COMMUNITY SHELTER,SHELTER,2.5,(506)-555-7003
NB,NEW BRUNSWICK,DIEPPE,DIEPPE CIVIC RELIEF,SHELTER,4.2,(506)-555-7004
NB,NEW BRUNSWICK,BATHURST,BATHURST RELIEF CENTRE,SUPPLIES,5.0,(506)-555-7005
NB,NEW BRUNSWICK,EDMUNDSTON,EDMUNDSTON MEDICAL CENTRE,MEDICAL,6.3,(506)-555-7006
NS,NOVA SCOTIA,HALIFAX,HALIFAX RELIEF CENTRE,SUPPLIES,2.6,(902)-555-8001
NS,NOVA SCOTIA,SYDNEY,SYDNEY GENERAL HOSPITAL,MEDICAL,4.0,(902)-555-8002
NS,NOVA SCOTIA,TRURO,TRURO EMERGENCY SHELTER,SHELTER,3.9,(902)-555-8003
NS,NOVA SCOTIA,NEW GLASGOW,NEW GLASGOW RELIEF HUB,SUPPLIES,4.1,(902)-555-8004
NS,NOVA SCOTIA,BRIDGEWATER,BRIDGEWATER MEDICAL RELIEF,MEDICAL,5.3,(902)-555-8005
NS,NOVA SCOTIA,YARMOUTH,YARMOUTH CIVIC SHELTER,SHELTER,5.9,(902)-555-8006
PE,PRINCE EDWARD ISLAND,CHARLOTTETOWN,CHARLOTTETOWN COMMUNITY SHELTER,SHELTER,2.8,(902)-555-9001
PE,PRINCE EDWARD ISLAND,SUMMERSIDE,SUMMERSIDE RELIEF CENTRE,SUPPLIES,3.5,(902)-555-9002
PE,PRINCE EDWARD ISLAND,MONTAGUE,MONTAGUE MEDICAL STATION,MEDICAL,4.2,(902)-555-9003
PE,PRINCE EDWARD ISLAND,STRATFORD,STRATFORD RELIEF HUB,SUPPLIES,5.0,(902)-555-9004
NL,NEWFOUNDLAND AND LABRADOR,ST. JOHN'S,ST. JOHN'S RELIEF DEPOT,SUPPLIES,3.2,(709)-555-9101
NL,NEWFOUNDLAND AND LABRADOR,CORNER BROOK,CORNER BROOK HEALTH CENTRE,MEDICAL,4.7,(709)-555-9102
NL,NEWFOUNDLAND AND LABRADOR,MOUNT PEARL,MOUNT PEARL CIVIC SHELTER,SHELTER,3.8,(709)-555-9103
NL,NEWFOUNDLAND AND LABRADOR,GANDER,GANDER RELIEF HUB,SUPPLIES,5.4,(709)-555-9104
NL,NEWFOUNDLAND AND LABRADOR,GRAND FALLS-WINDSOR,GRAND FALLS RELIEF STATION,SHELTER,6.1,(709)-555-9105
YT,YUKON,WHITEHORSE,WHITEHORSE MEDICAL CENTRE,MEDICAL,2.7,(867)-555-9201
YT,YUKON,DAWSON CITY,DAWSON CITY RELIEF HUB,SUPPLIES,5.0,(867)-555-9202
YT,YUKON,WATSON LAKE,WATSON LAKE EMERGENCY SHELTER,SHELTER,6.2,(867)-555-9203
NT,NORTHWEST TERRITORIES,YELLOWKNIFE,YELLOWKNIFE CIVIC SHELTER,SHELTER,3.3,(867)-555-9301
NT,NORTHWEST TERRITORIES,HAY RIVER,HAY RIVER MEDICAL CENTRE,MEDICAL,5.2,(867)-555-9302
NT,NORTHWEST TERRITORIES,INUVIK,INUVIK RELIEF STATION,SUPPLIES,7.5,(867)-555-9303
NU,NUNAVUT,IQALUIT,IQALUIT RELIEF HUB,SUPPLIES,2.9,(867)-555-9401
NU,NUNAVUT,RANKIN INLET,RANKIN INLET MEDICAL STATION,MEDICAL,4.4,(867)-555-9402
NU,NUNAVUT,CAMBRIDGE BAY,CAMBRIDGE BAY EMERGENCY SHELTER,SHELTER,6.0,(867)-555-9403
